k,c,success_count,fail_count,avg_min_length,avg_max_force
14867.2865515,621.76161372,357,643,0.312773536947,5115.46594411
28250.4207798,1281.89839691,199,801,0.391891727272,10615.6721695
10222.9679253,198.582586599,352,648,0.178629246492,3517.41140718
13966.1696401,1039.60091799,0,1000,0.357746961731,8383.02829479
12382.2646025,455.829113116,555,445,0.272902639073,3937.1944511
26216.7447883,551.571070642,996,4,0.330291059575,5691.40627993
22722.7749821,291.269859526,314,686,0.278266457826,5429.74943581
12412.7534945,873.947966682,2,998,0.338658319928,6987.84101648
11405.173532,687.693198988,19,981,0.312717181757,5446.31741619
7039.85457724,956.119193466,0,1000,0.329243765683,7458.56684873
20697.3602454,107.258804775,2,998,0.220730772656,5846.41693714
6773.52283878,371.983534591,128,872,0.20630638781,2925.47385779
6269.21319051,655.497354265,0,1000,0.277791983642,5055.53529952
5690.41931034,1341.26401116,0,1000,0.362298712444,10418.706963
15961.8531487,910.410853179,22,978,0.351007099873,7415.95674814
13203.8167051,1040.83659901,0,1000,0.358179223151,8241.21265273
29546.0223264,317.058266059,261,739,0.302258632724,6274.3269228
26510.1156011,1274.50690367,104,896,0.389655247381,10563.6747522
5970.86826012,450.351909558,0,1000,0.222762266514,3431.37236268
18427.0607166,524.571721617,895,105,0.30935854502,4795.76919747
25696.7249951,557.311734412,999,1,0.329750691338,5655.39651049
29131.295709,480.160088948,851,149,0.326303391988,5973.75292714
26050.5768953,740.171227528,957,43,0.350768855214,6430.96538421
15283.8476976,372.132052172,870,130,0.269972930972,4182.86268834
8458.82721966,1079.31708925,0,1000,0.348555864097,8465.8637977
29238.4216863,285.843586087,194,806,0.297469932281,6277.63291774
6026.68787774,1100.43314559,0,1000,0.341220298944,8604.46725119
15838.0184641,658.349266954,372,628,0.321181859901,5413.796974
11271.5133249,1141.65970767,0,1000,0.360988207847,9072.82315469
7021.82418412,358.06714218,150,850,0.202298220599,2923.54857271
22212.497511,699.640267708,845,155,0.340939633433,5957.18471025
27880.3433081,181.471032038,20,980,0.268463129522,6618.53557492
10994.6840585,719.293123628,9,991,0.314180156505,5751.39264272
9571.64994857,231.422605684,394,606,0.186676166224,3309.29026177
20956.7646699,1408.45959748,1,999,0.391521654813,11384.038783
21427.783294,823.374762139,454,546,0.351787906522,6885.85183964
23250.9830024,709.942053253,877,123,0.344851655131,6052.96030212
19150.930343,166.802576973,58,942,0.231533798035,5292.40640702
8004.11631911,322.105024778,306,694,0.201034828911,3011.95813106
7294.9767946,578.631541324,0,1000,0.26955427048,4478.0166182
12785.3327445,231.81978773,532,468,0.21425885804,3946.59900033
9383.25668629,1471.31474246,0,1000,0.381089926171,11410.4629986
24084.1106296,124.025546588,4,996,0.24291393791,6275.36439797
13657.6080152,1229.67816961,0,1000,0.373351342933,9678.49157334
21244.3420177,750.543343099,632,368,0.34553452162,6307.95777943
28728.6432973,167.282495731,8,992,0.268780460887,6781.9453238
